serial ,build date,mfg location,lot number,QR Data
K022,Jul-25,SJ,1,https://QR.looma.education?serial=K022&date=July 2025&location=SJ&lot=1

K022,Jul-25,SJ,1,https://QR.looma.education?serial=K022&date=July 2025&location=SJ&lot=1

K022,Jul-25,SJ,1,https://QR.looma.education?serial=K022&date=July 2025&location=SJ&lot=1

K023,Jul-25,SJ,1,https://QR.looma.education?serial=K023&date=July 2025&location=SJ&lot=1

K023,Jul-25,SJ,1,https://QR.looma.education?serial=K023&date=July 2025&location=SJ&lot=1

K023,Jul-25,SJ,1,https://QR.looma.education?serial=K023&date=July 2025&location=SJ&lot=1

K024,Jul-25,SJ,1,https://QR.looma.education?serial=K024&date=July 2025&location=SJ&lot=1

K024,Jul-25,SJ,1,https://QR.looma.education?serial=K024&date=July 2025&location=SJ&lot=1

K024,Jul-25,SJ,1,https://QR.looma.education?serial=K024&date=July 2025&location=SJ&lot=1

K025,Jul-25,SJ,1,https://QR.looma.education?serial=K025&date=July 2025&location=SJ&lot=1

K025,Jul-25,SJ,1,https://QR.looma.education?serial=K025&date=July 2025&location=SJ&lot=1

K025,Jul-25,SJ,1,https://QR.looma.education?serial=K025&date=July 2025&location=SJ&lot=1

K026,Jul-25,SJ,1,https://QR.looma.education?serial=K026&date=July 2025&location=SJ&lot=1

K026,Jul-25,SJ,1,https://QR.looma.education?serial=K026&date=July 2025&location=SJ&lot=1

K026,Jul-25,SJ,1,https://QR.looma.education?serial=K026&date=July 2025&location=SJ&lot=1

K027,Jul-25,SJ,1,https://QR.looma.education?serial=K027&date=July 2025&location=SJ&lot=1

K027,Jul-25,SJ,1,https://QR.looma.education?serial=K027&date=July 2025&location=SJ&lot=1

K027,Jul-25,SJ,1,https://QR.looma.education?serial=K027&date=July 2025&location=SJ&lot=1

K028,Jul-25,SJ,1,https://QR.looma.education?serial=K028&date=July 2025&location=SJ&lot=1

K028,Jul-25,SJ,1,https://QR.looma.education?serial=K028&date=July 2025&location=SJ&lot=1

K028,Jul-25,SJ,1,https://QR.looma.education?serial=K028&date=July 2025&location=SJ&lot=1

K029,Jul-25,SJ,1,https://QR.looma.education?serial=K029&date=July 2025&location=SJ&lot=1

K029,Jul-25,SJ,1,https://QR.looma.education?serial=K029&date=July 2025&location=SJ&lot=1

K029,Jul-25,SJ,1,https://QR.looma.education?serial=K029&date=July 2025&location=SJ&lot=1

K030,Jul-25,SJ,1,https://QR.looma.education?serial=K030&date=July 2025&location=SJ&lot=1

K030,Jul-25,SJ,1,https://QR.looma.education?serial=K030&date=July 2025&location=SJ&lot=1

K030,Jul-25,SJ,1,https://QR.looma.education?serial=K030&date=July 2025&location=SJ&lot=1

K031,Jul-25,SJ,1,https://QR.looma.education?serial=K031&date=July 2025&location=SJ&lot=1

K031,Jul-25,SJ,1,https://QR.looma.education?serial=K031&date=July 2025&location=SJ&lot=1

K031,Jul-25,SJ,1,https://QR.looma.education?serial=K031&date=July 2025&location=SJ&lot=1

K032,Jul-25,SJ,1,https://QR.looma.education?serial=K032&date=July 2025&location=SJ&lot=1

K032,Jul-25,SJ,1,https://QR.looma.education?serial=K032&date=July 2025&location=SJ&lot=1

K032,Jul-25,SJ,1,https://QR.looma.education?serial=K032&date=July 2025&location=SJ&lot=1

K033,Jul-25,SJ,1,https://QR.looma.education?serial=K033&date=July 2025&location=SJ&lot=1

K033,Jul-25,SJ,1,https://QR.looma.education?serial=K033&date=July 2025&location=SJ&lot=1

K033,Jul-25,SJ,1,https://QR.looma.education?serial=K033&date=July 2025&location=SJ&lot=1

K034,Jul-25,SJ,1,https://QR.looma.education?serial=K034&date=July 2025&location=SJ&lot=1

K034,Jul-25,SJ,1,https://QR.looma.education?serial=K034&date=July 2025&location=SJ&lot=1

K034,Jul-25,SJ,1,https://QR.looma.education?serial=K034&date=July 2025&location=SJ&lot=1

K035,Jul-25,SJ,1,https://QR.looma.education?serial=K035&date=July 2025&location=SJ&lot=1

K035,Jul-25,SJ,1,https://QR.looma.education?serial=K035&date=July 2025&location=SJ&lot=1

